store_key,store_name,fsm,region,data,updated_at
112_Western Cape,112 Kloof Street,Charlene v Heerden,Western Cape,"{""cos"":{""fytd"":"""",""goal"":""32% - 35% ACCEPTED RANGE"",""prev"":""""},""_fsm"":""Charlene v Heerden"",""cspi"":{""fytd_audits"":"""",""prev_audits"":"""",""brand_audits"":""80.85%"",""fytd_mystery"":"""",""brand_mystery"":""87.09%"",""fytd_complaints"":"""",""brand_complaints"":""42%""},""date"":"""",""flow"":{""mtd_score"":"""",""prev_score"":"""",""cleaning_score"":""""},""google"":{""fytd"":"""",""goal"":""4.5*+"",""prev"":"""",""brand_fytd"":""4.5"",""review_note"":"""",""reviews_fytd"":"""",""reviews_prev"":"""",""lifetime_reviews"":""""},""_region"":""Western Cape"",""training"":{""baristas"":[{""date"":"""",""name"":"""",""score"":""""},{""date"":"""",""name"":"""",""score"":""""},{""date"":"""",""name"":"""",""score"":""""},{""date"":"""",""name"":"""",""score"":""""}],""academy_goal"":""85%+"",""academy_prev"":"""",""academy_brand"":""0.70"",""support_count"":""""},""turnover"":{""fytd_inv"":"""",""fytd_spi"":"""",""goal_inv"":"""",""goal_spi"":""160"",""prev_inv"":"""",""fytd_sales"":"""",""goal_sales"":"""",""prev_sales"":"""",""brand_avg_inv"":""4 156"",""brand_avg_sales"":""R594 979""},""focus_points"":""test"",""nonconformance"":[],""brand_conformance"":""test""}",2026-06-10 11:00:08.569+00
BW_Western Cape,Bridgewater,Charlene v Heerden,Western Cape,"{""cos"":{""fytd"":"""",""goal"":""32% - 35% ACCEPTED RANGE"",""prev"":""""},""_fsm"":""Charlene v Heerden"",""cspi"":{""fytd_audits"":"""",""prev_audits"":"""",""brand_audits"":""80.85%"",""fytd_mystery"":"""",""brand_mystery"":""87.09%"",""fytd_complaints"":"""",""brand_complaints"":""42%""},""date"":"""",""flow"":{""mtd_score"":"""",""prev_score"":"""",""cleaning_score"":""""},""google"":{""fytd"":"""",""goal"":""4.5*+"",""prev"":"""",""brand_fytd"":""4.5"",""review_note"":"""",""reviews_fytd"":"""",""reviews_prev"":"""",""lifetime_reviews"":""""},""_region"":""Western Cape"",""training"":{""baristas"":[{""date"":"""",""name"":"""",""score"":""""},{""date"":"""",""name"":"""",""score"":""""},{""date"":"""",""name"":"""",""score"":""""},{""date"":"""",""name"":"""",""score"":""""}],""academy_goal"":""85%+"",""academy_prev"":"""",""academy_brand"":""0.70"",""support_count"":""""},""turnover"":{""fytd_inv"":"""",""fytd_spi"":"""",""goal_inv"":"""",""goal_spi"":""160"",""prev_inv"":"""",""fytd_sales"":"""",""goal_sales"":"""",""prev_sales"":"""",""brand_avg_inv"":""4 156"",""brand_avg_sales"":""R594 979""},""focus_points"":""test 2"",""nonconformance"":[],""brand_conformance"":""test 1""}",2026-06-10 10:58:53.715+00
